Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-07-15,30.585463623151806,30.780761231347054,30.552915677327427,30.76991081237793,48290328,0.0,0.0,0.0
2021-07-16,30.335926522822287,30.379324896171518,30.17318013944994,30.357624053955078,37001536,0.0,0.0,0.0
2021-07-19,30.162323405448305,30.205721769714373,29.847681125665613,30.010427474975586,41802040,0.0,0.0,0.0
2021-07-20,29.90193073781323,30.010428307028025,29.739184383991045,29.771732330322266,31443692,0.0,0.0,0.0
2021-07-21,30.021915310705005,30.021915310705005,29.608571427725945,29.739099502563477,50775656,0.0875,0.0,0.0
2021-07-22,29.97840668018557,30.14156926735688,29.858753452349678,29.945772171020508,24405396,0.0,0.0,0.0
2021-07-23,30.032794209242674,30.087181738299776,29.880509791793052,29.945772171020508,12374240,0.0,0.0,0.0
2021-07-26,29.96752918502073,30.032794885268626,29.641204003332664,29.68471336364746,46350908,0.0,0.0,0.0
2021-07-27,29.69559591223287,29.815249160404996,29.597699007201825,29.673839569091797,41265188,0.0,0.0,0.0
2021-07-28,29.608573337598035,29.608573337598035,29.097329216074456,29.206104278564453,120230996,0.0,0.0,0.0
2021-07-29,29.55418852119171,29.717351129914775,29.42365710639255,29.695594787597656,42856636,0.0,0.0,0.0
2021-07-30,29.717349541566602,29.717349541566602,29.586818133744153,29.59769630432129,15472072,0.0,0.0,0.0
2021-08-02,29.804370226925535,30.021920374567326,29.597698250576194,30.000164031982422,28890076,0.0,0.0,0.0
2021-08-03,30.0110369569133,30.11981201171875,29.956649429510573,30.11981201171875,24320952,0.0,0.0,0.0
2021-08-04,30.163322361885058,30.30473192951423,30.119813002441983,30.293853759765625,21724496,0.0,0.0,0.0
2021-08-05,30.293857063320903,30.337366427508687,30.206838334945328,30.239469528198242,22573208,0.0,0.0,0.0
2021-08-06,30.21771020400903,30.239466543731545,29.97840706481824,30.19595718383789,15681916,0.0,0.0,0.0
2021-08-09,30.06542313905206,30.141567001829348,29.739097989236985,30.108932495117188,20148264,0.0,0.0,0.0
2021-08-10,30.119812927913504,30.130691097635193,29.91314098140678,29.945772171020508,9903104,0.0,0.0,0.0
2021-08-11,29.880510104599473,29.945772484510137,29.717347515720085,29.847875595092773,14460116,0.0,0.0,0.0
2021-08-12,29.847878899172407,29.85875707021216,29.69559446327111,29.79349136352539,8938108,0.0,0.0,0.0
2021-08-13,29.71735072080995,29.771738256302243,29.48892240783197,29.51067543029785,28719444,0.0,0.0,0.0
2021-08-16,29.4780428740951,29.532430407073136,29.347511467127184,29.445411682128906,42835976,0.0,0.0,0.0
2021-08-17,29.45629023065631,29.478046574399173,29.216987047244782,29.22786521911621,52037948,0.0,0.0,0.0
2021-08-18,29.064698777351808,29.358389461944732,28.814514135419074,29.347511291503906,85849596,0.0,0.0,0.0
2021-08-19,29.260491820976668,29.260491820976668,28.629597786114484,28.673107147216797,105585004,0.0,0.0,0.0
2021-08-20,28.760124353711745,28.89065574969091,28.325024126516254,28.444677352905273,62649456,0.0,0.0,0.0
2021-08-23,28.771008556932035,29.249618243307083,28.74925221318917,29.22786521911621,23545608,0.0,0.0,0.0
2021-08-24,29.41277918058248,29.44541369433038,29.282251084246283,29.314882278442383,19796404,0.0,0.0,0.0
2021-08-25,29.401899192587614,29.608574474898425,29.401899192587614,29.59769630432129,27403636,0.0,0.0,0.0
2021-08-26,29.902263957573727,30.021917189994866,29.662960812282904,29.804367065429688,28349696,0.0,0.0,0.0
2021-08-27,29.739103135401294,30.13069404685194,29.684715601020695,30.054550170898438,66067832,0.0,0.0,0.0
