Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-07-15,21.86754531983548,22.16519296992071,21.86754531983548,22.15252685546875,11383279,0.0,0.0,0.0
2021-07-16,22.13985964717257,22.260186520614134,22.04486741719755,22.241186141967773,11541217,0.0,0.0,0.0
2021-07-19,22.24118863634022,22.260189017117494,22.158862510958418,22.253854751586914,5113682,0.0,0.0,0.0
2021-07-20,22.133528367704685,22.139860216873604,21.848546838818116,21.886545181274414,22864398,0.0,0.0,0.0
2021-07-21,22.013200916481736,22.082863334592513,21.487570479870385,21.614229202270508,48272821,0.0,0.0,0.0
2021-07-22,21.658556533790197,21.823211160105867,21.576228012725423,21.664888381958008,16712474,0.0,0.0,0.0
2021-07-23,21.848545844536538,21.848545844536538,21.690223048561634,21.829547882080078,6917490,0.0,0.0,0.0
2021-07-26,21.854875015219093,21.956201495593447,21.78521502281048,21.848543167114258,10788752,0.0,0.0,0.0
2021-07-27,21.848546412225126,21.86121252612992,21.52556896300266,21.576231002807617,22426857,0.0,0.0,0.0
2021-07-28,21.5762270857042,21.5762270857042,21.05692858895595,21.462234497070312,42456046,0.0,0.0,0.0
2021-07-29,21.56989838409888,21.65855876245461,21.44323966538464,21.59522819519043,19432242,0.0,0.0,0.0
2021-07-30,21.658559493151046,21.6712256070312,21.455906502696994,21.46857261657715,28359398,0.0,0.0,0.0
2021-08-02,21.55089645944399,21.55089645944399,21.297581456008416,21.531898498535156,18615920,0.0,0.0,0.0
2021-08-03,21.538233105378556,21.63322775371692,21.51923514203659,21.626895904541016,6369404,0.0,0.0,0.0
2021-08-04,21.645893140083924,21.753551483154297,21.639558875306736,21.753551483154297,5400379,0.0,0.0,0.0
2021-08-05,21.785218523971405,21.785218523971405,21.620561457016944,21.658559799194336,6802345,0.0,0.0,0.0
2021-08-06,21.658555807745046,21.69021987915039,21.544563218034774,21.69021987915039,9229543,0.0,0.0,0.0
2021-08-09,21.67122487590745,21.67122487590745,21.45590577883748,21.59522819519043,12068365,0.0,0.0,0.0
2021-08-10,21.59522732619607,21.64589177796867,21.348244163339704,21.398908615112305,28810581,0.0,0.0,0.0
2021-08-11,21.354578105421968,21.398908292146924,21.05059864681628,21.208921432495117,34558108,0.0,0.0,0.0
2021-08-12,21.22791667619182,21.22791667619182,21.10759224417246,21.221582412719727,10911141,0.0,0.0,0.0
2021-08-13,21.253252260991218,21.265918374125675,21.02526705619913,21.069597244262695,24411607,0.0,0.0,0.0
