Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-07-15,12.683415389081743,12.710899043076267,12.669674872577234,12.704028129577637,3857908,0.0,0.0,0.0
2021-07-16,12.70402587074415,12.74525003391334,12.676543532128862,12.738380432128906,4071075,0.0,0.0,0.0
2021-07-19,12.73838140753764,12.745251009848095,12.642189938787224,12.717768669128418,5355423,0.0,0.0,0.0
2021-07-20,12.635320640770926,12.676546122857962,12.614709210220195,12.621580123901367,8074323,0.0,0.0,0.0
2021-07-21,12.662804656154194,12.67654648390793,12.57348408624773,12.587225914001465,6156972,0.0,0.0,0.0
2021-07-22,12.600965813094467,12.697155971662438,12.600965813094467,12.642189979553223,3573272,0.0,0.0,0.0
2021-07-23,12.649062466446697,12.71089937907622,12.642191552766441,12.655933380126953,2979316,0.0,0.0,0.0
2021-07-26,12.683412876900757,12.704025613313922,12.621577288646249,12.6353178024292,6461166,0.0,0.0,0.0
2021-07-27,12.649059932985347,12.676543582201715,12.594093945045136,12.60783576965332,5488858,0.0,0.0,0.0
2021-07-28,12.58722339718777,12.58722339718777,12.415454516089701,12.484162330627441,16246133,0.0,0.0,0.0
2021-07-29,12.511645891934748,12.56661319732666,12.49790537607946,12.56661319732666,3759635,0.0,0.0,0.0
2021-07-30,12.566612264970182,12.607836430462875,12.539128614313325,12.545999526977539,4156175,0.0,0.0,0.0
2021-08-02,12.559742878352736,12.66967487335205,12.559742878352736,12.66967487335205,4078615,0.0,0.0,0.0
2021-08-03,12.710899043076267,12.724640870073529,12.64906213208134,12.704028129577637,9795146,0.0,0.0,0.0
2021-08-04,12.710895839271354,12.786474558213785,12.710895839271354,12.772732734680176,6668672,0.0,0.0,0.0
2021-08-05,12.786481231061547,12.820834497331,12.779610315709036,12.807092666625977,6521452,0.0,0.0,0.0
2021-08-06,12.813959454757951,12.813959454757951,12.724640204930155,12.800217628479004,7031391,0.0,0.0,0.0
2021-08-09,12.800217001780068,12.800217001780068,12.655931764393372,12.717768669128418,11983476,0.0,0.0,0.0
2021-08-10,12.779605257966447,12.779605257966447,12.655931451553426,12.676544189453125,21295002,0.0,0.0,0.0
2021-08-11,12.676546121167725,12.69028663803545,12.594096467497431,12.655933380126953,15840653,0.0,0.0,0.0
2021-08-12,12.662801757593531,12.690284096317374,12.600964857349227,12.60783576965332,18149878,0.0,0.0,0.0
2021-08-13,12.607836764569033,12.628448192615284,12.518516208059856,12.532258033752441,25903192,0.0,0.0,0.0
2021-08-16,12.504776000976562,12.504776000976562,12.394844013712419,12.504776000976562,36135000,0.0,0.0,0.0
2021-08-17,12.51874756745168,12.51874756745168,12.386014938354492,12.386014938354492,39646486,0.3,0.0,0.0
2021-08-18,12.365059856221984,12.476834297180176,12.260270151924296,12.476834297180176,20136351,0.0,0.0,0.0
2021-08-19,12.448890544062406,12.448890544062406,12.239313791569325,12.267256736755371,25916743,0.0,0.0,0.0
2021-08-20,12.26725179720427,12.316152930931615,12.120548396022237,12.197392463684082,17751076,0.0,0.0,0.0
2021-08-23,12.26725498244699,12.38601548053117,12.26725498244699,12.337114334106445,11093033,0.0,0.0,0.0
2021-08-24,12.406974792480469,12.413960861515209,12.35807364169371,12.406974792480469,7201988,0.0,0.0,0.0
2021-08-25,12.420947076701081,12.497791172074562,12.413961007584138,12.476834297180176,7557882,0.0,0.0,0.0
2021-08-26,12.504773929138038,12.504773929138038,12.399985585051358,12.434914588928223,11967117,0.0,0.0,0.0
2021-08-27,12.434914768218466,12.574633450652605,12.41395789857262,12.560661315917969,6965202,0.0,0.0,0.0
2021-08-30,12.581621869836944,12.658467292785645,12.574635801163756,12.658467292785645,7775361,0.0,0.0,0.0
2021-08-31,12.658464301963596,12.700379371643066,12.574632830148614,12.700379371643066,8504808,0.0,0.0,0.0
2021-09-01,12.679424575114378,12.721339656048423,12.672438506215972,12.707368850708008,7284419,0.0,0.0,0.0
2021-09-02,12.693396272605526,12.700382341261603,12.574635770364937,12.609564781188965,10040131,0.0,0.0,0.0
2021-09-03,12.644495274649787,12.714354629583925,12.623537068432634,12.679424285888672,9165225,0.0,0.0,0.0
2021-09-06,12.679424285888672,12.74928364082281,12.644495274649787,12.679424285888672,10235988,0.0,0.0,0.0
2021-09-07,12.679424285888672,12.693396423366773,12.609564930954534,12.679424285888672,6766702,0.0,0.0,0.0
2021-09-08,12.679422093730922,12.679422093730922,12.546689475549968,12.588605880737305,18502983,0.0,0.0,0.0
2021-09-09,12.553676896905465,12.595593306613186,12.504775751369406,12.581621170043945,7388706,0.0,0.0,0.0
2021-09-10,12.5955941259328,12.693396423366773,12.588608057193749,12.679424285888672,5012734,0.0,0.0,0.0
2021-09-13,12.67942417169502,12.742297457323858,12.658467298122979,12.714354515075684,8335248,0.0,0.0,0.0
2021-09-14,12.721338563719893,12.784211845950493,12.721338563719893,12.749282836914062,5226440,0.0,0.0,0.0
2021-09-15,12.749281332672036,12.756267400146317,12.679421990385347,12.742295265197754,5952045,0.0,0.0,0.0
2021-09-16,12.749282836914062,12.77024104180969,12.70038169128055,12.749282836914062,7927739,0.0,0.0,0.0
